model,model_family,condition,seed_count,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,accuracy_mean,accuracy_std,msa_validation_macro_f1_mean,macro_f1_change_msa_to_saudi
AraBERT E0,AraBERTv2-base,E0,3,0.7389177292583455,0.0043363699235335,0.738779465871866,0.0050140080702112,0.7399441340782124,0.0040574969403167,0.7320879027536673,0.0068298265046782
AraBERT EB,AraBERTv2-base,EB,3,0.7327450238979925,0.0096255806295558,0.7327703765021051,0.0095275371150476,0.7346368715083799,0.0094601643697632,0.7306964910580432,0.0020485328399492
AraBERT E3,AraBERTv2-base,E3,3,0.7316219832196117,0.0091794556266826,0.7314577482057611,0.0094881047289156,0.7329608938547486,0.009217877094972,0.7302421701342073,0.0013798130854043
AraBERT E1,AraBERTv2-base,E1,3,0.7308556452760623,0.0021628706370825,0.7310970272466877,0.0023900123353518,0.7325884543761639,0.0018174321504602,0.7339452224927291,-0.0030895772166668
AraBERT E2,AraBERTv2-base,E2,3,0.7283817678549203,0.0061568308259551,0.7284914912472278,0.0067667884497221,0.7300744878957169,0.0058880490703025,0.7292883444530052,-0.0009065765980849
TF-IDF + LinearSVC,TF-IDF + LinearSVC,baseline,1,0.5050789815818896,0.0,0.5089302492916365,0.0,0.5201117318435754,0.0,0.8672097512161016,-0.362130769634212
TextCNN,TextCNN,baseline,1,0.3559921936268128,0.0,0.3593471248348704,0.0,0.3497206703910614,0.0,0.814558983104492,-0.4585667894776792
